un_adi,un_sehir,un_turu,un_aCilisYil,un_rektor
ABDULLAH GUL UNIVERSITESI,KAYSERI,DEVLET,2010,PROF.DR. CENGIZ YILMAZ
ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,ISTANBUL,VAKIF,2007,PROF.DR. AHMET SAHIN
ADANA ALPARSLAN TURKES BILIM VE TEKNOLOJI UNIVERSITESI,ADANA,DEVLET,2011,PROF.DR. MEHMET TUMAY
ADIYAMAN UNIVERSITESI,ADIYAMAN,DEVLET,2006,PROF.DR. MEHMET KELLES
AFYON KOCATEPE UNIVERSITESI,AFYONKARAHISAR,DEVLET,1992,PROF.DR. MEHMET KARAKAS
AFYONKARAHISAR SAGLIK BILIMLERI UNIVERSITESI,AFYONKARAHISAR,DEVLET,2018,PROF.DR. NURULLAH OKUMUS
AGRI IBRAHIM CECEN UNIVERSITESI,AGRI,DEVLET,2007,PROF.DR. ABDULHALIK KARABULUT
AKDENIZ UNIVERSITESI,ANTALYA,DEVLET,1982,PROF.DR. OZLENEN OZKAN
AKSARAY UNIVERSITESI,AKSARAY,DEVLET,2006,PROF.DR. ALPAY ARIBAS
ALANYA ALAADDIN KEYKUBAT UNIVERSITESI,ANTALYA,DEVLET,2015,PROF.DR. KENAN AHMET TURKDOGAN
ALANYA UNIVERSITESI,ANTALYA,VAKIF,2011,PROF.DR. MESUT GUNER
ALTINBAS UNIVERSITESI,ISTANBUL,VAKIF,2008,PROF.DR. CAGRI ERHAN
AMASYA UNIVERSITESI,AMASYA,DEVLET,2006,PROF.DR. AHMET HAKKI TURABI
ANADOLU UNIVERSITESI,ESKISEHIR,DEVLET,1973,PROF.DR. FUAT ERDAL
ANKA TEKNOLOJI UNIVERSITESI,ANKARA,VAKIF,2013,
ANKARA BILIM UNIVERSITESI,ANKARA,VAKIF,2020,PROF.DR. YAVUZ DEMIR
ANKARA HACI BAYRAM VELI UNIVERSITESI,ANKARA,DEVLET,2018,PROF.DR. MEHMET NACI BOSTANCI
ANKARA MEDIPOL UNIVERSITESI,ANKARA,VAKIF,2018,PROF.DR. AHMET ZEKI SENGIL
ANKARA MUZIK VE GUZEL SANATLAR UNIVERSITESI,ANKARA,DEVLET,2017,PROF.DR. ERHAN OZDEN
ANKARA SOSYAL BILIMLER UNIVERSITESI,ANKARA,DEVLET,2013,
ANKARA UNIVERSITESI,ANKARA,DEVLET,1946,PROF.DR. NECDET UNUVAR
ANKARA YILDIRIM BEYAZIT UNIVERSITESI,ANKARA,DEVLET,2010,PROF.DR. ALI CENGIZ KOSEOGLU
ANTALYA BELEK UNIVERSITESI,ANTALYA,VAKIF,2015,PROF.DR. MEHMET YAZICI
ANTALYA BILIM UNIVERSITESI,ANTALYA,VAKIF,2010,PROF.DR. SEMIH EKERCIN
ARDAHAN UNIVERSITESI,ARDAHAN,DEVLET,2008,PROF.DR. MEHMET BIBER
ARTVIN CORUH UNIVERSITESI,ARTVIN,DEVLET,2007,PROF.DR. MUSTAFA SITKI BILGIN
ATASEHIR ADIGUZEL MESLEK YUKSEKOKULU,ISTANBUL,VAKIF MYO,2014,
ATATURK UNIVERSITESI,ERZURUM,DEVLET,1957,PROF.DR. OMER COMAKLI
ATILIM UNIVERSITESI,ANKARA,VAKIF,1997,PROF.DR. SERKAN ERYILMAZ
AVRASYA UNIVERSITESI,TRABZON,VAKIF,2010,PROF.DR. FUSUN TERZIOGLU
AYDIN ADNAN MENDERES UNIVERSITESI,AYDIN,DEVLET,1992,PROF.DR. BULENT KENT
BAHCESEHIR UNIVERSITESI,ISTANBUL,VAKIF,1998,PROF.DR. ESRA HATIPOGLU
BALIKESIR UNIVERSITESI,BALIKESIR,DEVLET,1992,PROF.DR. YUCEL OGURLU
BANDIRMA ONYEDI EYLUL UNIVERSITESI,BALIKESIR,DEVLET,2015,
BARTIN UNIVERSITESI,BARTIN,DEVLET,2008,PROF.DR. ORHAN UZUN
BASKENT UNIVERSITESI,ANKARA,VAKIF,1994,PROF.DR. HAKAN OZKARDES
BATMAN UNIVERSITESI,BATMAN,DEVLET,2007,PROF.DR. IDRIS DEMIR
BAYBURT UNIVERSITESI,BAYBURT,DEVLET,2008,PROF.DR. MUTLU TURKMEN
